hebrew_city_name,city_code,year,total_open_requests,total_requests,total_approved_requests,longitude,latitude
אור יהודה,2400,2005,0,0.0,0.0,34.8523936,32.0309712
אור יהודה,2400,2006,0,0.0,0.0,34.8523936,32.0309712
אור יהודה,2400,2007,0,0.0,0.0,34.8523936,32.0309712
אור יהודה,2400,2008,0,1.0,0.0,34.8523936,32.0309712
אור יהודה,2400,2009,1,0.0,0.0,34.8523936,32.0309712
אור יהודה,2400,2010,1,0.0,1.0,34.8523936,32.0309712
אור יהודה,2400,2011,0,0.0,0.0,34.8523936,32.0309712
אור יהודה,2400,2012,0,0.0,0.0,34.8523936,32.0309712
אור יהודה,2400,2013,0,0.0,0.0,34.8523936,32.0309712
אור יהודה,2400,2014,0,0.0,0.0,34.8523936,32.0309712
אור יהודה,2400,2015,0,0.0,0.0,34.8523936,32.0309712
אור יהודה,2400,2016,0,0.0,0.0,34.8523936,32.0309712
אור יהודה,2400,2017,0,1.0,0.0,34.8523936,32.0309712
אור יהודה,2400,2018,1,0.0,0.0,34.8523936,32.0309712
אור יהודה,2400,2019,1,0.0,0.0,34.8523936,32.0309712
אור יהודה,2400,2020,1,0.0,0.0,34.8523936,32.0309712
אור יהודה,2400,2021,1,0.0,0.0,34.8523936,32.0309712
אור יהודה,2400,2022,1,1.0,0.0,34.8523936,32.0309712
אור עקיבא,1020,2005,0,0.0,0.0,34.922045919703095,32.50288295
אור עקיבא,1020,2006,0,0.0,0.0,34.922045919703095,32.50288295
אור עקיבא,1020,2007,0,0.0,0.0,34.922045919703095,32.50288295
אור עקיבא,1020,2008,0,0.0,0.0,34.922045919703095,32.50288295
אור עקיבא,1020,2009,0,0.0,0.0,34.922045919703095,32.50288295
אור עקיבא,1020,2010,0,0.0,0.0,34.922045919703095,32.50288295
אור עקיבא,1020,2011,0,0.0,0.0,34.922045919703095,32.50288295
אור עקיבא,1020,2012,0,0.0,0.0,34.922045919703095,32.50288295
אור עקיבא,1020,2013,0,0.0,0.0,34.922045919703095,32.50288295
אור עקיבא,1020,2014,0,0.0,0.0,34.922045919703095,32.50288295
אור עקיבא,1020,2015,0,0.0,0.0,34.922045919703095,32.50288295
אור עקיבא,1020,2016,0,0.0,0.0,34.922045919703095,32.50288295
אור עקיבא,1020,2017,0,0.0,0.0,34.922045919703095,32.50288295
אור עקיבא,1020,2018,0,1.0,0.0,34.922045919703095,32.50288295
אור עקיבא,1020,2019,1,1.0,0.0,34.922045919703095,32.50288295
אור עקיבא,1020,2020,2,0.0,0.0,34.922045919703095,32.50288295
אור עקיבא,1020,2021,2,0.0,0.0,34.922045919703095,32.50288295
אור עקיבא,1020,2022,2,0.0,0.0,34.922045919703095,32.50288295
אזור,565,2005,0,0.0,0.0,34.80892189228334,32.022598849999994
אזור,565,2006,0,0.0,0.0,34.80892189228334,32.022598849999994
אזור,565,2007,0,0.0,0.0,34.80892189228334,32.022598849999994
אזור,565,2008,0,0.0,0.0,34.80892189228334,32.022598849999994
אזור,565,2009,0,0.0,0.0,34.80892189228334,32.022598849999994
אזור,565,2010,0,0.0,0.0,34.80892189228334,32.022598849999994
אזור,565,2011,0,0.0,0.0,34.80892189228334,32.022598849999994
אזור,565,2012,0,1.0,0.0,34.80892189228334,32.022598849999994
אזור,565,2013,1,0.0,0.0,34.80892189228334,32.022598849999994
אזור,565,2014,1,0.0,0.0,34.80892189228334,32.022598849999994
אזור,565,2015,1,1.0,1.0,34.80892189228334,32.022598849999994
אזור,565,2016,1,0.0,0.0,34.80892189228334,32.022598849999994
אזור,565,2017,1,0.0,0.0,34.80892189228334,32.022598849999994
אזור,565,2018,1,0.0,0.0,34.80892189228334,32.022598849999994
אזור,565,2019,1,0.0,0.0,34.80892189228334,32.022598849999994
אזור,565,2020,1,2.0,0.0,34.80892189228334,32.022598849999994
אזור,565,2021,3,0.0,0.0,34.80892189228334,32.022598849999994
אזור,565,2022,3,0.0,0.0,34.80892189228334,32.022598849999994
אילת,2600,2005,0,0.0,0.0,34.9497949,29.5569348
אילת,2600,2006,0,0.0,0.0,34.9497949,29.5569348
אילת,2600,2007,0,0.0,0.0,34.9497949,29.5569348
אילת,2600,2008,0,0.0,0.0,34.9497949,29.5569348
אילת,2600,2009,0,0.0,0.0,34.9497949,29.5569348
אילת,2600,2010,0,0.0,0.0,34.9497949,29.5569348
אילת,2600,2011,0,0.0,0.0,34.9497949,29.5569348
אילת,2600,2012,0,3.0,2.0,34.9497949,29.5569348
אילת,2600,2013,1,1.0,1.0,34.9497949,29.5569348
אילת,2600,2014,1,0.0,0.0,34.9497949,29.5569348
אילת,2600,2015,1,0.0,0.0,34.9497949,29.5569348
אילת,2600,2016,1,0.0,0.0,34.9497949,29.5569348
אילת,2600,2017,1,1.0,0.0,34.9497949,29.5569348
אילת,2600,2018,2,3.0,3.0,34.9497949,29.5569348
אילת,2600,2019,2,1.0,1.0,34.9497949,29.5569348
אילת,2600,2020,2,0.0,0.0,34.9497949,29.5569348
אילת,2600,2021,2,0.0,1.0,34.9497949,29.5569348
אילת,2600,2022,1,2.0,1.0,34.9497949,29.5569348
אשדוד,70,2005,0,0.0,0.0,34.64891361423561,31.7958896
אשדוד,70,2006,0,1.0,0.0,34.64891361423561,31.7958896
אשדוד,70,2007,1,1.0,1.0,34.64891361423561,31.7958896
אשדוד,70,2008,1,2.0,0.0,34.64891361423561,31.7958896
אשדוד,70,2009,3,4.0,1.0,34.64891361423561,31.7958896
אשדוד,70,2010,6,7.0,4.0,34.64891361423561,31.7958896
אשדוד,70,2011,9,11.0,4.0,34.64891361423561,31.7958896
אשדוד,70,2012,16,15.0,4.0,34.64891361423561,31.7958896
אשדוד,70,2013,27,24.0,6.0,34.64891361423561,31.7958896
אשדוד,70,2014,45,23.0,8.0,34.64891361423561,31.7958896
אשדוד,70,2015,60,58.0,14.0,34.64891361423561,31.7958896
אשדוד,70,2016,104,41.0,25.0,34.64891361423561,31.7958896
אשדוד,70,2017,120,44.0,22.0,34.64891361423561,31.7958896
אשדוד,70,2018,142,43.0,35.0,34.64891361423561,31.7958896
אשדוד,70,2019,150,44.0,23.0,34.64891361423561,31.7958896
אשדוד,70,2020,171,20.0,22.0,34.64891361423561,31.7958896
אשדוד,70,2021,169,12.0,24.0,34.64891361423561,31.7958896
אשדוד,70,2022,157,21.0,29.0,34.64891361423561,31.7958896
אשקלון,7100,2005,0,0.0,0.0,34.57404853627754,31.6687545
אשקלון,7100,2006,0,0.0,0.0,34.57404853627754,31.6687545
אשקלון,7100,2007,0,0.0,0.0,34.57404853627754,31.6687545
אשקלון,7100,2008,0,0.0,0.0,34.57404853627754,31.6687545
אשקלון,7100,2009,0,0.0,0.0,34.57404853627754,31.6687545
אשקלון,7100,2010,0,0.0,0.0,34.57404853627754,31.6687545
אשקלון,7100,2011,0,0.0,0.0,34.57404853627754,31.6687545
אשקלון,7100,2012,0,0.0,0.0,34.57404853627754,31.6687545
אשקלון,7100,2013,0,0.0,0.0,34.57404853627754,31.6687545
אשקלון,7100,2014,0,0.0,0.0,34.57404853627754,31.6687545
אשקלון,7100,2015,0,0.0,0.0,34.57404853627754,31.6687545
אשקלון,7100,2016,0,0.0,0.0,34.57404853627754,31.6687545
אשקלון,7100,2017,0,0.0,0.0,34.57404853627754,31.6687545
אשקלון,7100,2018,0,0.0,0.0,34.57404853627754,31.6687545
אשקלון,7100,2019,0,0.0,0.0,34.57404853627754,31.6687545
אשקלון,7100,2020,0,0.0,0.0,34.57404853627754,31.6687545
אשקלון,7100,2021,0,1.0,0.0,34.57404853627754,31.6687545
אשקלון,7100,2022,1,0.0,0.0,34.57404853627754,31.6687545
באר שבע,9000,2005,0,0.0,0.0,34.7925181,31.2457442
באר שבע,9000,2006,0,0.0,0.0,34.7925181,31.2457442
באר שבע,9000,2007,0,0.0,0.0,34.7925181,31.2457442
באר שבע,9000,2008,0,0.0,0.0,34.7925181,31.2457442
באר שבע,9000,2009,0,0.0,0.0,34.7925181,31.2457442
באר שבע,9000,2010,0,0.0,0.0,34.7925181,31.2457442
באר שבע,9000,2011,0,0.0,0.0,34.7925181,31.2457442
באר שבע,9000,2012,0,0.0,0.0,34.7925181,31.2457442
באר שבע,9000,2013,0,0.0,0.0,34.7925181,31.2457442
באר שבע,9000,2014,0,1.0,0.0,34.7925181,31.2457442
באר שבע,9000,2015,1,2.0,0.0,34.7925181,31.2457442
באר שבע,9000,2016,3,1.0,1.0,34.7925181,31.2457442
באר שבע,9000,2017,3,1.0,0.0,34.7925181,31.2457442
באר שבע,9000,2018,4,0.0,0.0,34.7925181,31.2457442
באר שבע,9000,2019,4,0.0,2.0,34.7925181,31.2457442
באר שבע,9000,2020,2,1.0,0.0,34.7925181,31.2457442
באר שבע,9000,2021,3,1.0,0.0,34.7925181,31.2457442
