hebrew_city_name,city_code,year,total_requests,total_approved_requests
אור יהודה,2400,2005,0.0,0.0
אור יהודה,2400,2006,0.0,0.0
אור יהודה,2400,2007,0.0,0.0
אור יהודה,2400,2008,1.0,0.0
אור יהודה,2400,2009,0.0,0.0
אור יהודה,2400,2010,0.0,1.0
אור יהודה,2400,2011,0.0,0.0
אור יהודה,2400,2012,0.0,0.0
אור יהודה,2400,2013,0.0,0.0
אור יהודה,2400,2014,0.0,0.0
אור יהודה,2400,2015,0.0,0.0
אור יהודה,2400,2016,0.0,0.0
אור יהודה,2400,2017,1.0,0.0
אור יהודה,2400,2018,0.0,0.0
אור יהודה,2400,2019,0.0,0.0
אור יהודה,2400,2020,0.0,0.0
אור יהודה,2400,2021,0.0,0.0
אור יהודה,2400,2022,1.0,0.0
אור עקיבא,1020,2005,0.0,0.0
אור עקיבא,1020,2006,0.0,0.0
אור עקיבא,1020,2007,0.0,0.0
אור עקיבא,1020,2008,0.0,0.0
אור עקיבא,1020,2009,0.0,0.0
אור עקיבא,1020,2010,0.0,0.0
אור עקיבא,1020,2011,0.0,0.0
אור עקיבא,1020,2012,0.0,0.0
אור עקיבא,1020,2013,0.0,0.0
אור עקיבא,1020,2014,0.0,0.0
אור עקיבא,1020,2015,0.0,0.0
אור עקיבא,1020,2016,0.0,0.0
אור עקיבא,1020,2017,0.0,0.0
אור עקיבא,1020,2018,1.0,0.0
אור עקיבא,1020,2019,1.0,0.0
אור עקיבא,1020,2020,0.0,0.0
אור עקיבא,1020,2021,0.0,0.0
אור עקיבא,1020,2022,0.0,0.0
אזור,565,2005,0.0,0.0
אזור,565,2006,0.0,0.0
אזור,565,2007,0.0,0.0
אזור,565,2008,0.0,0.0
אזור,565,2009,0.0,0.0
אזור,565,2010,0.0,0.0
אזור,565,2011,0.0,0.0
אזור,565,2012,1.0,0.0
אזור,565,2013,0.0,0.0
אזור,565,2014,0.0,0.0
אזור,565,2015,1.0,1.0
אזור,565,2016,0.0,0.0
אזור,565,2017,0.0,0.0
אזור,565,2018,0.0,0.0
אזור,565,2019,0.0,0.0
אזור,565,2020,2.0,0.0
אזור,565,2021,0.0,0.0
אזור,565,2022,0.0,0.0
אילת,2600,2005,0.0,0.0
אילת,2600,2006,0.0,0.0
אילת,2600,2007,0.0,0.0
אילת,2600,2008,0.0,0.0
אילת,2600,2009,0.0,0.0
אילת,2600,2010,0.0,0.0
אילת,2600,2011,0.0,0.0
אילת,2600,2012,3.0,2.0
אילת,2600,2013,1.0,1.0
אילת,2600,2014,0.0,0.0
אילת,2600,2015,0.0,0.0
אילת,2600,2016,0.0,0.0
אילת,2600,2017,1.0,0.0
אילת,2600,2018,3.0,3.0
אילת,2600,2019,1.0,1.0
אילת,2600,2020,0.0,0.0
אילת,2600,2021,0.0,1.0
אילת,2600,2022,2.0,1.0
אשדוד,70,2005,0.0,0.0
אשדוד,70,2006,1.0,0.0
אשדוד,70,2007,1.0,1.0
אשדוד,70,2008,2.0,0.0
אשדוד,70,2009,4.0,1.0
אשדוד,70,2010,7.0,4.0
אשדוד,70,2011,11.0,4.0
אשדוד,70,2012,15.0,4.0
אשדוד,70,2013,24.0,6.0
אשדוד,70,2014,23.0,8.0
אשדוד,70,2015,58.0,14.0
אשדוד,70,2016,41.0,25.0
אשדוד,70,2017,44.0,22.0
אשדוד,70,2018,43.0,35.0
אשדוד,70,2019,44.0,23.0
אשדוד,70,2020,20.0,22.0
אשדוד,70,2021,12.0,24.0
אשדוד,70,2022,21.0,29.0
אשקלון,7100,2005,0.0,0.0
אשקלון,7100,2006,0.0,0.0
אשקלון,7100,2007,0.0,0.0
אשקלון,7100,2008,0.0,0.0
אשקלון,7100,2009,0.0,0.0
אשקלון,7100,2010,0.0,0.0
אשקלון,7100,2011,0.0,0.0
אשקלון,7100,2012,0.0,0.0
אשקלון,7100,2013,0.0,0.0
אשקלון,7100,2014,0.0,0.0
אשקלון,7100,2015,0.0,0.0
אשקלון,7100,2016,0.0,0.0
אשקלון,7100,2017,0.0,0.0
אשקלון,7100,2018,0.0,0.0
אשקלון,7100,2019,0.0,0.0
אשקלון,7100,2020,0.0,0.0
אשקלון,7100,2021,1.0,0.0
אשקלון,7100,2022,0.0,0.0
באר שבע,9000,2005,0.0,0.0
באר שבע,9000,2006,0.0,0.0
באר שבע,9000,2007,0.0,0.0
באר שבע,9000,2008,0.0,0.0
באר שבע,9000,2009,0.0,0.0
באר שבע,9000,2010,0.0,0.0
באר שבע,9000,2011,0.0,0.0
באר שבע,9000,2012,0.0,0.0
באר שבע,9000,2013,0.0,0.0
באר שבע,9000,2014,1.0,0.0
באר שבע,9000,2015,2.0,0.0
באר שבע,9000,2016,1.0,1.0
באר שבע,9000,2017,1.0,0.0
באר שבע,9000,2018,0.0,0.0
באר שבע,9000,2019,0.0,2.0
באר שבע,9000,2020,1.0,0.0
באר שבע,9000,2021,1.0,0.0
באר שבע,9000,2022,1.0,0.0
בית שאן,9200,2005,0.0,0.0
בית שאן,9200,2006,0.0,0.0
בית שאן,9200,2007,0.0,0.0
בית שאן,9200,2008,0.0,0.0
בית שאן,9200,2009,0.0,0.0
בית שאן,9200,2010,0.0,0.0
בית שאן,9200,2011,0.0,0.0
בית שאן,9200,2012,11.0,9.0
בית שאן,9200,2013,0.0,2.0
בית שאן,9200,2014,0.0,0.0
בית שאן,9200,2015,0.0,0.0
בית שאן,9200,2016,0.0,0.0
בית שאן,9200,2017,0.0,0.0
בית שאן,9200,2018,0.0,0.0
בית שאן,9200,2019,0.0,0.0
בית שאן,9200,2020,0.0,0.0
בית שאן,9200,2021,0.0,0.0
בית שאן,9200,2022,0.0,0.0
בית שמש,2610,2005,0.0,0.0
בית שמש,2610,2006,0.0,0.0
בית שמש,2610,2007,0.0,0.0
בית שמש,2610,2008,0.0,0.0
בית שמש,2610,2009,0.0,0.0
בית שמש,2610,2010,0.0,0.0
בית שמש,2610,2011,0.0,0.0
בית שמש,2610,2012,0.0,0.0
בית שמש,2610,2013,0.0,0.0
בית שמש,2610,2014,0.0,0.0
בית שמש,2610,2015,0.0,0.0
בית שמש,2610,2016,0.0,0.0
בית שמש,2610,2017,6.0,0.0
בית שמש,2610,2018,0.0,0.0
בית שמש,2610,2019,0.0,0.0
בית שמש,2610,2020,0.0,0.0
בית שמש,2610,2021,0.0,0.0
בית שמש,2610,2022,0.0,4.0
בני ברק,6100,2005,0.0,0.0
בני ברק,6100,2006,0.0,0.0
בני ברק,6100,2007,0.0,0.0
בני ברק,6100,2008,0.0,0.0
בני ברק,6100,2009,0.0,0.0
בני ברק,6100,2010,0.0,0.0
בני ברק,6100,2011,3.0,0.0
בני ברק,6100,2012,10.0,1.0
בני ברק,6100,2013,25.0,14.0
בני ברק,6100,2014,43.0,18.0
בני ברק,6100,2015,33.0,18.0
