MezheYeshut,GISId,MisparYeshut,MisparYeshutAv,AchuzHachtamot,AchuzHachtamotMitcham,Bayt,GushChelka,KamutDirot,KamutTziburi,kaymetminhelet,KodMinhelet,KtovetAishKesher,MachozMinhal,MahutBakasha,MechirMemutza,mitve,Rechov,SemelIishuv,ShemMitcham,ShnatBakasha,ShnatHryter,ShnatIchlus,Status,TaarichMechiraRishona,YachadKayam,YachadMutza,YachadTabo,YachadTosafti,Yazam,Yeshut,Yeshuv,BakashaLeHeter,Heter1,Ichlus1
16-640988,640988,16000146,NULL,NULL,NULL,1,NULL,NULL,2,לא,0,"אלון יגאל 1,מזכרת בתיה",מרכז,"(שטח שרות מחושב לא כולל פרגולות ומרפסות מוצעות) 1. הקלה לקומה ד+ה עם 8 יח' דיור עפ""י תמ""א 3/38  . 2. הקלה לקומה ו' עם 2 יח""'ד עפ""י תמ""א 3/38 3. הקלה לדירת גן עפ""י תמ""א 3/38 4. שינוי קווי בנין עפ""י תמ""א 38 5. הקלה לממדי""ם מעבר לקו בנין במערב 173- במקום 200",NULL,"תמ""א - חיזוק ועיבוי",אלון יגאל,28,NULL,2013,2015,2020,אכלוס,NULL,12,23,NULL,11,NULL,"תמ""א",מזכרת בתיה,2013-08-28,2015-11-17,2020-03-24
16-640984,640984,16002161,NULL,NULL,NULL,23,NULL,NULL,NULL,לא,0,"שד אליהו 23,מזכרת בתיה",מרכז,"+חיזוק מבנה עפ""י הנחיות מהנדס+הוספת מעלית+מחסנים דירתיים+חניות. 1.הקלה לקומה ד+ה עם 12  יח' דיור  ע""פ תמ""א 3/38 . 2.הקלה לקומה ו עם 3 יח""ד עפ""י תמ""א 3/38 3.הקלה לדירת גן עפ""י תמ""א 38 4.שינוי קווי בניין עפ""י תמ""א 38 5.הקלה לממדי""ם מעבר לקו בנין בצפון 120 ב",NULL,"תמ""א - חיזוק ועיבוי",שד אליהו,28,NULL,2014,2021,NULL, היתר,NULL,12,29,NULL,17,NULL,"תמ""א",מזכרת בתיה,2014-03-24,2021-10-24,NULL
16-640985,640985,16000145,NULL,NULL,0,32,NULL,NULL,NULL,לא,0,"שד אליהו 32,מזכרת בתיה",מרכז,"תוספת לפי תמ""א 38",NULL,"תמ""א - חיזוק ועיבוי",שד אליהו,28,NULL,2016,NULL,NULL,  הגשת בקשה להיתר,NULL,18,35,12,17,"קינן-קאולי פרוייקטים בע""מ","תמ""א",מזכרת בתיה,2016-11-14,NULL,NULL
16-640989,640989,16000147,NULL,NULL,NULL,5,NULL,NULL,NULL,לא,0,"אלון יגאל 5,מזכרת בתיה",מרכז,". הקמת 2.5 קומות נוספות-ד+ה+ו עפ""י תמ""א 38 הכוללים 10 יח' חדשות והוספת 2 דירות גן חדשות- סה""כ 12 יח""ד חדשות. חיזוק המבנה עפ""י הנחיות מהנדס, הוספת מעלית , מחסנים דירתיים חניות כולל מכפילי חניה תת קרקעיים",NULL,"תמ""א - חיזוק ועיבוי",אלון יגאל,28,NULL,2017,NULL,NULL,  הגשת בקשה להיתר,NULL,12,24,NULL,12,NULL,"תמ""א",מזכרת בתיה,2017-06-06,NULL,NULL
16-649233,649233,16001567,NULL,NULL,NULL,28,NULL,NULL,NULL,לא,0,"שד אליהו 28,מזכרת בתיה",מרכז,"תוספת  3 קומות נוספות ה+ו+ז ע""פ תמא 38 הכוללים דירות חדשות , אשרור קומה ד' שלא נבנתה , חיזוק מבנים ע""פ הנחיות מהנדס . הוספת מעלית,  מחסנים דירתיים ,ממ""דים ומרפסות לדירות קיימות תוספת 3 קומות על בניין קיים + אשרור קומה ד' שלא נבנתה. מיקום על גבי קומות קיי",NULL,"תמ""א - חיזוק ועיבוי",שד אליהו,28,NULL,2019,NULL,NULL,  הגשת בקשה להיתר,NULL,12,26,NULL,14,NULL,"תמ""א",מזכרת בתיה,2019-09-16,NULL,NULL
16-640986,640986,16001585,NULL,NULL,0,34,NULL,NULL,NULL,לא,0,"שד אליהו 34,מזכרת בתיה",מרכז,"בקומות +2 דירות גן, סה""כ 12 יח""ד חדשות +מקומות חניה לא מקורים, סה""כ דירות בבניין 24 יח""ד. הקמת 2.5 קומות נוספות מעל 3 קומות +ק.עמודים קיימות -עפ""י תמ""א 38 הכוללים 10 יח""ד חדשות חיזוק מבנה עפ""י הנחיות מהנדס והוספת מעלית ומחסנים.",NULL,"תמ""א - חיזוק ועיבוי",שד אליהו,28,NULL,2018,NULL,NULL,  הגשת בקשה להיתר,NULL,12,24,12,12,"א. בשן נכסים פיננסיים בע""מ","תמ""א",מזכרת בתיה,2018-04-18,NULL,NULL
16-640987,640987,16002162,NULL,8.33,1,42,NULL,NULL,NULL,לא,0,"שד אליהו 42,מזכרת בתיה",מרכז,"תוספת 12 דירות עפ""י תמ""א 38 +תוספת ממ""דים , מעלית,חניות ומחסנים",NULL,"תמ""א - חיזוק ועיבוי",שד אליהו,28,NULL,2017,NULL,NULL,  הגשת בקשה להיתר,NULL,12,24,12,12,מ. רשף הנדסה בעמ,"תמ""א",מזכרת בתיה,2017-11-29,NULL,NULL
16-640990,640990,16002163,NULL,NULL,NULL,1,NULL,NULL,NULL,לא,0,"רקפת 1,מזכרת בתיה",מרכז,"1. תוספת 3 קומות כך שיהיו 6 קומות במקום 3 קומות מתוקף תמ""א 38/3. 2. הקלה לתוספת 10 יח""ד, כך שיהיו 22 יח""ד במקום 12 הקיימות מתוקף תמ""א 38/3. 3. הרחבת קומות בבניין לצורך הרחבת יח""ד בשטח עד 25 מ""ר לדירה כולל ממ""דים מתוקף תמ""א 38/3 בנוסף לזכויות עפ""י תב""ע בתו",NULL,"תמ""א - חיזוק ועיבוי",רקפת,28,NULL,2016,NULL,NULL,  הגשת בקשה להיתר,NULL,12,22,NULL,10,NULL,"תמ""א",מזכרת בתיה,2016-05-09,NULL,NULL
16-650289,650289,16002493,NULL,NULL,NULL,8,NULL,NULL,2,לא,0,"הצנחנים 8,מזכרת בתיה",מרכז,"בניין קיים עם 12 יח""ד + תוספת 12 יח""ד כולל 2 דירות גן סה""כ 24 יח""ד, 5.5 קומות מעל קומת הקרקע. חיזוק והרחבת בניין קיים ע""פ תכנית הרחבות בשילוב תמ""א 38. חיזוק מבנה ע""פ הנחיות מהנדס, הוספת מעלית,מחסנים דירתיים.",NULL,"תמ""א - חיזוק ועיבוי",הצנחנים,28,NULL,2018,NULL,NULL,  הגשת בקשה להיתר,NULL,12,24,NULL,12,NULL,"תמ""א",מזכרת בתיה,2018-01-02,NULL,NULL
16-640991,640991,16002593,NULL,61.54,8,3,NULL,NULL,NULL,לא,0,"רקפת 3,מזכרת בתיה",מרכז,"1. תוספת 3 קומות כך שיהיו 6 קומות במקום 3 קומות מתוקף תמ""א 38/3. 2. הקלה לתוספת 10 יח""ד, כך שיהיו 22 יח""ד במקום 12 הקיימות מתוקף תמ""א 38/3. 3. הרחבת קומות בבניין לצורך הרחבת יח""ד בשטח עד 25 מ""ר לדירה כולל ממ""דים מתוקף תמ""א 38/3 בנוסף לזכויות עפ""י תב""ע בתו",NULL,"תמ""א - חיזוק ועיבוי",רקפת,28,NULL,2016,NULL,NULL,  הגשת בקשה להיתר,NULL,12,22,13,10,רידי יהונתן,"תמ""א",מזכרת בתיה,2016-05-11,NULL,NULL
16-641080,641080,16001883,NULL,NULL,NULL,15,NULL,NULL,NULL,כן,70,"יהודה המכבי 15,אשדוד",דרום,"תוספת חדרים ומרפסות למבנה קיים + יחידות דיור ושיפוץ החזיתות מכוח תמ""א 38.",NULL,"תמ""א - חיזוק ועיבוי",יהודה המכבי,70,NULL,2006,2007,2016,אכלוס,NULL,16,25,NULL,9,NULL,"תמ""א",אשדוד,2006-02-13,2007-08-15,2016-12-22
16-641063,641063,16002178,NULL,NULL,NULL,9,NULL,8,NULL,כן,70,"ז'בוטינסקי 9,אשדוד",דרום,"תוספת 6 יח""ד ב-2 קומות ע""פ תמ""א 38 + מרפסות, מעלית ומחסנים לבניין קיים בן 16 יח""ד",9942,"תמ""א - חיזוק ועיבוי",ז'בוטינסקי,70,NULL,2008,2009,2011,אכלוס,27/07/2010,16,25,NULL,9,NULL,"תמ""א",אשדוד,2008-11-03,2009-11-17,2011-08-01
16-641056,641056,16000156,NULL,NULL,NULL,13,NULL,NULL,NULL,כן,70,"ז'בוטינסקי 13,אשדוד",דרום,"תוספת 3 יח""ד בקומה שישית בהקלה ו-4 יח""ד בקומה חמישית + יח""ד אחת בקומת הקרקע וממד""ים ל-16 יח""ד קיימות ע""פ תמ""א 38 לשני בניינים.",NULL,"תמ""א - חיזוק ועיבוי",ז'בוטינסקי,70,NULL,2010,2010,2016,אכלוס,NULL,16,24,NULL,8,NULL,"תמ""א",אשדוד,2010-02-11,2010-07-27,2016-08-10
